 ESE Hospital;codigo REPS Prestador;Sede;codigo Municipio;municipio;variables Camas - Servicios;inicial;actual;proyectado
SANATORIO DE AGUA DE DIOS E.S.E.;2500100094;SANATORIO DE AGUA DE DIOS E.S.E.;25001;AGUA DE DIOS;Adultos;10;;
SANATORIO DE AGUA DE DIOS E.S.E.;;SANATORIO DE AGUA DE DIOS E.S.E.;25001;AGUA DE DIOS;Atención del Parto;1;;
SANATORIO DE AGUA DE DIOS E.S.E.;;SANATORIO DE AGUA DE DIOS E.S.E.;25001;AGUA DE DIOS;ATENCIÓN DEL PARTO;1;;
SANATORIO DE AGUA DE DIOS E.S.E.;;SANATORIO DE AGUA DE DIOS E.S.E.;25001;AGUA DE DIOS;ENFERMERÍA;1;;
SANATORIO DE AGUA DE DIOS E.S.E.;;SANATORIO DE AGUA DE DIOS E.S.E.;25001;AGUA DE DIOS;FISIOTERAPIA;1;;
SANATORIO DE AGUA DE DIOS E.S.E.;;SANATORIO DE AGUA DE DIOS E.S.E.;25001;AGUA DE DIOS;HOSPITALIZACIÓN ADULTOS;1;;
SANATORIO DE AGUA DE DIOS E.S.E.;;SANATORIO DE AGUA DE DIOS E.S.E.;25001;AGUA DE DIOS;IMÁGENES DIAGNOSTICAS - IONIZANTES;1;;
SANATORIO DE AGUA DE DIOS E.S.E.;;SANATORIO DE AGUA DE DIOS E.S.E.;25001;AGUA DE DIOS;LABORATORIO CLÍNICO;1;;
SANATORIO DE AGUA DE DIOS E.S.E.;;SANATORIO DE AGUA DE DIOS E.S.E.;25001;AGUA DE DIOS;MEDICINA GENERAL;1;;
SANATORIO DE AGUA DE DIOS E.S.E.;;SANATORIO DE AGUA DE DIOS E.S.E.;25001;AGUA DE DIOS;NUTRICIÓN Y DIETÉTICA;1;;
SANATORIO DE AGUA DE DIOS E.S.E.;;SANATORIO DE AGUA DE DIOS E.S.E.;25001;AGUA DE DIOS;ODONTOLOGÍA GENERAL;1;;
SANATORIO DE AGUA DE DIOS E.S.E.;;SANATORIO DE AGUA DE DIOS E.S.E.;25001;AGUA DE DIOS;PSICOLOGÍA;1;;
SANATORIO DE AGUA DE DIOS E.S.E.;;SANATORIO DE AGUA DE DIOS E.S.E.;25001;AGUA DE DIOS;SERVICIO FARMACÉUTICO;1;;
SANATORIO DE AGUA DE DIOS E.S.E.;;SANATORIO DE AGUA DE DIOS E.S.E.;25001;AGUA DE DIOS;TOMA DE MUESTRAS DE CUELLO UTERINO Y GINECOLÓGICAS;1;;
SANATORIO DE AGUA DE DIOS E.S.E.;;SANATORIO DE AGUA DE DIOS E.S.E.;25001;AGUA DE DIOS;TOMA DE MUESTRAS DE LABORATORIO CLÍNICO;1;;
