operation,eseName,repsCode,sedeName,municipalityCodigo,municipalityId,serviceName,bedTypeName,initial,current,projected
sedeService,SANATORIO DE AGUA DE DIOS E.S.E.,2500100094,SANATORIO DE AGUA DE DIOS E.S.E.,25001,25001,Adultos,,10,,
sedeService,SANATORIO DE AGUA DE DIOS E.S.E.,,SANATORIO DE AGUA DE DIOS E.S.E.,25001,25001,Atención del Parto,,1,,
sedeService,SANATORIO DE AGUA DE DIOS E.S.E.,,SANATORIO DE AGUA DE DIOS E.S.E.,25001,25001,ATENCIÓN DEL PARTO,,1,,
sedeService,SANATORIO DE AGUA DE DIOS E.S.E.,,SANATORIO DE AGUA DE DIOS E.S.E.,25001,25001,ENFERMERÍA,,1,,
sedeService,SANATORIO DE AGUA DE DIOS E.S.E.,,SANATORIO DE AGUA DE DIOS E.S.E.,25001,25001,FISIOTERAPIA,,1,,
sedeService,SANATORIO DE AGUA DE DIOS E.S.E.,,SANATORIO DE AGUA DE DIOS E.S.E.,25001,25001,HOSPITALIZACIÓN ADULTOS,,1,,
sedeService,SANATORIO DE AGUA DE DIOS E.S.E.,,SANATORIO DE AGUA DE DIOS E.S.E.,25001,25001,IMÁGENES DIAGNOSTICAS - IONIZANTES,,1,,
sedeService,SANATORIO DE AGUA DE DIOS E.S.E.,,SANATORIO DE AGUA DE DIOS E.S.E.,25001,25001,LABORATORIO CLÍNICO,,1,,
sedeService,SANATORIO DE AGUA DE DIOS E.S.E.,,SANATORIO DE AGUA DE DIOS E.S.E.,25001,25001,MEDICINA GENERAL,,1,,
sedeService,SANATORIO DE AGUA DE DIOS E.S.E.,,SANATORIO DE AGUA DE DIOS E.S.E.,25001,25001,NUTRICIÓN Y DIETÉTICA,,1,,
sedeService,SANATORIO DE AGUA DE DIOS E.S.E.,,SANATORIO DE AGUA DE DIOS E.S.E.,25001,25001,ODONTOLOGÍA GENERAL,,1,,
sedeService,SANATORIO DE AGUA DE DIOS E.S.E.,,SANATORIO DE AGUA DE DIOS E.S.E.,25001,25001,PSICOLOGÍA,,1,,
sedeService,SANATORIO DE AGUA DE DIOS E.S.E.,,SANATORIO DE AGUA DE DIOS E.S.E.,25001,25001,SERVICIO FARMACÉUTICO,,1,,
sedeService,SANATORIO DE AGUA DE DIOS E.S.E.,,SANATORIO DE AGUA DE DIOS E.S.E.,25001,25001,TOMA DE MUESTRAS DE CUELLO UTERINO Y GINECOLÓGICAS,,1,,
sedeService,SANATORIO DE AGUA DE DIOS E.S.E.,,SANATORIO DE AGUA DE DIOS E.S.E.,25001,25001,TOMA DE MUESTRAS DE LABORATORIO CLÍNICO,,1,,
sedeService,SANATORIO DE AGUA DE DIOS E.S.E.,,SANATORIO DE AGUA DE DIOS E.S.E.,25001,25001,TRANSPORTE ASISTENCIAL BASICO,,1,,
sedeService,SANATORIO DE AGUA DE DIOS E.S.E.,,SANATORIO DE AGUA DE DIOS E.S.E.,25001,25001,URGENCIAS,,1,,
sedeService,SANATORIO DE AGUA DE DIOS E.S.E.,,SANATORIO DE AGUA DE DIOS E.S.E.,25001,25001,VACUNACIÓN,,1,,
sedeService,SANATORIO DE AGUA DE DIOS E.S.E.,,CENTRO DE SALUD JOHAN DE AGUA DE DIOS - (250010002702,25001,25001,ENFERMERÍA,,1,,
sedeService,SANATORIO DE AGUA DE DIOS E.S.E.,,CENTRO DE SALUD JOHAN DE AGUA DE DIOS - (250010002702,25001,25001,MEDICINA GENERAL,,1,,
sedeService,SANATORIO DE AGUA DE DIOS E.S.E.,,CENTRO DE SALUD JOHAN DE AGUA DE DIOS - (250010002702,25001,25001,PSICOLOGÍA,,1,,
sedeService,SANATORIO DE AGUA DE DIOS E.S.E.,,CENTRO DE SALUD JOHAN DE AGUA DE DIOS - (250010002702,25001,25001,TOMA DE MUESTRAS DE CUELLO UTERINO Y GINECOLÓGICAS,,1,,
sedeService,SANATORIO DE AGUA DE DIOS E.S.E.,,CENTRO DE SALUD JOHAN DE AGUA DE DIOS - (250010002702,25001,25001,TOMA DE MUESTRAS DE LABORATORIO CLÍNICO,,1,,
sedeService,SANATORIO DE AGUA DE DIOS E.S.E.,,CENTRO DE SALUD JOHAN DE AGUA DE DIOS - (250010002702,25001,25001,URGENCIAS,,1,,
sedeService,SANATORIO DE AGUA DE DIOS E.S.E.,,CENTRO DE SALUD JOHAN DE AGUA DE DIOS - (250010002702,25001,25001,VACUNACIÓN,,1,,
sedeService,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,2504000352,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,25040,25040,Adultos,,8,,
sedeService,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,25040,25040,Pediátrica,,1,,
sedeService,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,25040,25040,ATENCIÓN DEL PARTO,,1,,
sedeService,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,25040,25040,ENFERMERÍA,,1,,
sedeService,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,25040,25040,FISIOTERAPIA,,1,,
sedeService,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,25040,25040,GINECOBSTETRICIA,,1,,
sedeService,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,25040,25040,HOSPITALIZACIÓN ADULTOS,,1,,
sedeService,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,25040,25040,HOSPITALIZACIÓN PEDIÁTRICA,,1,,
sedeService,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,25040,25040,IMÁGENES DIAGNOSTICAS - IONIZANTES,,1,,
sedeService,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,25040,25040,IMÁGENES DIAGNOSTICAS - NO IONIZANTES,,1,,
sedeService,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,25040,25040,LABORATORIO CLÍNICO,,1,,
sedeService,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,25040,25040,MEDICINA GENERAL,,1,,
sedeService,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,25040,25040,MEDICINA INTERNA,,1,,
sedeService,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,25040,25040,NUTRICIÓN Y DIETÉTICA,,1,,
sedeService,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,25040,25040,ODONTOLOGÍA GENERAL,,1,,
sedeService,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,25040,25040,PEDIATRÍA,,1,,
sedeService,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,25040,25040,PSICOLOGÍA,,1,,
sedeService,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,25040,25040,SERVICIO FARMACÉUTICO,,1,,
sedeService,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,25040,25040,TOMA DE MUESTRAS DE CUELLO UTERINO Y GINECOLÓGICAS,,1,,
sedeService,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,25040,25040,TOMA DE MUESTRAS DE LABORATORIO CLÍNICO,,1,,
sedeService,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,25040,25040,TRANSPORTE ASISTENCIAL BASICO,,1,,
sedeService,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,25040,25040,URGENCIAS,,1,,
sedeService,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,25040,25040,VACUNACIÓN,,1,,
sedeService,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,,PUESTO DE SALUD LA FLORIDA,25040,25040,ENFERMERÍA,,1,,
sedeService,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,,PUESTO DE SALUD LA FLORIDA,25040,25040,MEDICINA GENERAL,,1,,
sedeService,E.S.E. HOSPITAL SAN ANTONIO DE ANOLAIMA,,PUESTO DE SALUD LA FLORIDA,25040,25040,TOMA DE MUESTRAS DE CUELLO UTERINO Y GINECOLÓGICAS,,1,,
sedeService,E.S.E. HOSPITAL SAN ANTONIO DE ARBELAEZ,2505300023,E.S.E. HOSPITAL SAN ANTONIO DE ARBELAEZ,25053,25053,Adultos,,13,,
sedeService,E.S.E. HOSPITAL SAN ANTONIO DE ARBELAEZ,,E.S.E. HOSPITAL SAN ANTONIO DE ARBELAEZ,25053,25053,ANESTESIA,,1,,
sedeService,E.S.E. HOSPITAL SAN ANTONIO DE ARBELAEZ,,E.S.E. HOSPITAL SAN ANTONIO DE ARBELAEZ,25053,25053,ATENCIÓN DEL PARTO,,1,,
sedeService,E.S.E. HOSPITAL SAN ANTONIO DE ARBELAEZ,,E.S.E. HOSPITAL SAN ANTONIO DE ARBELAEZ,25053,25053,CARDIOLOGÍA,,1,,
sedeService,E.S.E. HOSPITAL SAN ANTONIO DE ARBELAEZ,,E.S.E. HOSPITAL SAN ANTONIO DE ARBELAEZ,25053,25053,CIRUGÍA GENERAL,,2,,
sedeService,E.S.E. HOSPITAL SAN ANTONIO DE ARBELAEZ,,E.S.E. HOSPITAL SAN ANTONIO DE ARBELAEZ,25053,25053,CIRUGÍA OFTALMOLÓGICA,,1,,
sedeService,E.S.E. HOSPITAL SAN ANTONIO DE ARBELAEZ,,E.S.E. HOSPITAL SAN ANTONIO DE ARBELAEZ,25053,25053,DERMATOLOGÍA,,1,,
sedeService,E.S.E. HOSPITAL SAN ANTONIO DE ARBELAEZ,,E.S.E. HOSPITAL SAN ANTONIO DE ARBELAEZ,25053,25053,DIAGNÓSTICO VASCULAR,,1,,
sedeService,E.S.E. HOSPITAL SAN ANTONIO DE ARBELAEZ,,E.S.E. HOSPITAL SAN ANTONIO DE ARBELAEZ,25053,25053,ENDOCRINOLOGÍA,,1,,
sedeService,E.S.E. HOSPITAL SAN ANTONIO DE ARBELAEZ,,E.S.E. HOSPITAL SAN ANTONIO DE ARBELAEZ,25053,25053,ENFERMERÍA,,1,,
sedeService,E.S.E. HOSPITAL SAN ANTONIO DE ARBELAEZ,,E.S.E. HOSPITAL SAN ANTONIO DE ARBELAEZ,25053,25053,FISIOTERAPIA,,1,,
sedeService,E.S.E. HOSPITAL SAN ANTONIO DE ARBELAEZ,,E.S.E. HOSPITAL SAN ANTONIO DE ARBELAEZ,25053,25053,GINECOBSTETRICIA,,1,,
sedeService,E.S.E. HOSPITAL SAN ANTONIO DE ARBELAEZ,,E.S.E. HOSPITAL SAN ANTONIO DE ARBELAEZ,25053,25053,HOSPITALIZACIÓN ADULTOS,,1,,
sedeService,E.S.E. HOSPITAL SAN ANTONIO DE ARBELAEZ,,E.S.E. HOSPITAL SAN ANTONIO DE ARBELAEZ,25053,25053,IMÁGENES DIAGNOSTICAS - IONIZANTES,,1,,
sedeService,E.S.E. HOSPITAL SAN ANTONIO DE ARBELAEZ,,E.S.E. HOSPITAL SAN ANTONIO DE ARBELAEZ,25053,25053,IMÁGENES DIAGNOSTICAS - NO IONIZANTES,,1,,
sedeService,E.S.E. HOSPITAL SAN ANTONIO DE ARBELAEZ,,E.S.E. HOSPITAL SAN ANTONIO DE ARBELAEZ,25053,25053,LABORATORIO CLÍNICO,,1,,
sedeService,E.S.E. HOSPITAL SAN ANTONIO DE ARBELAEZ,,E.S.E. HOSPITAL SAN ANTONIO DE ARBELAEZ,25053,25053,MEDICINA FÍSICA Y REHABILITACIÓN,,1,,
sedeService,E.S.E. HOSPITAL SAN ANTONIO DE ARBELAEZ,,E.S.E. HOSPITAL SAN ANTONIO DE ARBELAEZ,25053,25053,MEDICINA GENERAL,,1,,
sedeService,E.S.E. HOSPITAL SAN ANTONIO DE ARBELAEZ,,E.S.E. HOSPITAL SAN ANTONIO DE ARBELAEZ,25053,25053,MEDICINA INTERNA,,1,,
sedeService,E.S.E. HOSPITAL SAN ANTONIO DE ARBELAEZ,,E.S.E. HOSPITAL SAN ANTONIO DE ARBELAEZ,25053,25053,NEFROLOGÍA,,1,,
sedeService,E.S.E. HOSPITAL SAN ANTONIO DE ARBELAEZ,,E.S.E. HOSPITAL SAN ANTONIO DE ARBELAEZ,25053,25053,NEUMOLOGÍA,,1,,
sedeService,E.S.E. HOSPITAL SAN ANTONIO DE ARBELAEZ,,E.S.E. HOSPITAL SAN ANTONIO DE ARBELAEZ,25053,25053,NEUROLOGÍA,,1,,
sedeService,E.S.E. HOSPITAL SAN ANTONIO DE ARBELAEZ,,E.S.E. HOSPITAL SAN ANTONIO DE ARBELAEZ,25053,25053,NUTRICIÓN Y DIETÉTICA,,1,,
sedeService,E.S.E. HOSPITAL SAN ANTONIO DE ARBELAEZ,,E.S.E. HOSPITAL SAN ANTONIO DE ARBELAEZ,25053,25053,ODONTOLOGÍA GENERAL,,1,,
sedeService,E.S.E. HOSPITAL SAN ANTONIO DE ARBELAEZ,,E.S.E. HOSPITAL SAN ANTONIO DE ARBELAEZ,25053,25053,OFTALMOLOGÍA,,1,,
sedeService,E.S.E. HOSPITAL SAN ANTONIO DE ARBELAEZ,,E.S.E. HOSPITAL SAN ANTONIO DE ARBELAEZ,25053,25053,OPTOMETRÍA,,1,,
sedeService,E.S.E. HOSPITAL SAN ANTONIO DE ARBELAEZ,,E.S.E. HOSPITAL SAN ANTONIO DE ARBELAEZ,25053,25053,ORTOPEDIA Y/O TRAUMATOLOGÍA,,1,,
sedeService,E.S.E. HOSPITAL SAN ANTONIO DE ARBELAEZ,,E.S.E. HOSPITAL SAN ANTONIO DE ARBELAEZ,25053,25053,OTORRINOLARINGOLOGÍA,,1,,
sedeService,E.S.E. HOSPITAL SAN ANTONIO DE ARBELAEZ,,E.S.E. HOSPITAL SAN ANTONIO DE ARBELAEZ,25053,25053,PEDIATRÍA,,1,,
sedeService,E.S.E. HOSPITAL SAN ANTONIO DE ARBELAEZ,,E.S.E. HOSPITAL SAN ANTONIO DE ARBELAEZ,25053,25053,PSICOLOGÍA,,1,,
sedeService,E.S.E. HOSPITAL SAN ANTONIO DE ARBELAEZ,,E.S.E. HOSPITAL SAN ANTONIO DE ARBELAEZ,25053,25053,PSIQUIATRÍA,,1,,
sedeService,E.S.E. HOSPITAL SAN ANTONIO DE ARBELAEZ,,E.S.E. HOSPITAL SAN ANTONIO DE ARBELAEZ,25053,25053,SERVICIO FARMACÉUTICO,,1,,
